id;prenoms;nom;date_naissance;lieu_naissance;epoux;epouse;enfant
1;optical;transmit;2021-03-14T21:42:41;system;true;true;true
2;back-end Granite;SMS Cheese Generic;2021-03-14T20:55:51;virtual Strategist Table;false;false;true
3;web-readiness;Tasty RAM;2021-03-14T20:37:35;Legacy;true;true;true
4;standardization Technician US Dollar;Borders;2021-03-14T20:06:03;hacking;false;true;true
5;open-source;e-tailers Advanced;2021-03-14T20:22:17;open-source Pants Steel;false;true;false
6;Borders;tangible;2021-03-14T17:42:18;Pants multi-byte;false;true;false
7;Solutions iterate;compelling Internal Tools;2021-03-14T17:33:23;invoice AI;true;true;true
8;User-centric;mobile Computer transmitter;2021-03-15T04:28:26;web-enabled;false;true;true
9;scalable;Louisiana Ball Small;2021-03-14T15:51:14;Concrete Bedfordshire system;true;false;false
10;Gorgeous Cotton Tuna cultivate;CFA Franc BCEAO withdrawal e-business;2021-03-15T04:26:57;multi-byte National Cayman Islands;true;false;false
